cpu_type,cpu_freq,mem_type,ipc,sim_seconds
O3,600MHz,DDR3,0.398589,0.000535
O3,800MHz,DDR3,0.380247,0.00042
TIMING,600MHz,DDR3,0.156618,0.001361
TIMING,800MHz,DDR3,0.152584,0.001048
