TIMING,1600MHz,DDR4,0.227811,0.025944,27625.16,1696761970.31
TIMING,1600MHz,DualDDR3,0.227817,0.025943,0,0
TIMING,1800MHz,DDR3,0.227551,0.023106,26378.05,689674928.89
TIMING,1800MHz,HBM,0.227225,0.023139,31396.16,691160989.45
TIMING,1800MHz,DDR4,0.227544,0.023107,26481.39,1515309411.6
TIMING,1800MHz,DualDDR3,0.22747,0.023114,0,0
TIMING,2000MHz,DDR3,0.22721,0.02081,26672.58,629481225.67
TIMING,2000MHz,HBM,0.226941,0.020835,30807.91,606007191.0
TIMING,2000MHz,DDR4,0.227225,0.020808,26608.46,1346215102.55
TIMING,2000MHz,DualDDR3,0.227132,0.020817,0,0
TIMING,2200MHz,DDR3,0.226891,0.018964,26533.62,554296901.2
TIMING,2200MHz,HBM,0.22653,0.018994,31568.06,546701842.26
TIMING,2200MHz,DDR4,0.226955,0.018958,25814.47,1242198150.47
TIMING,2200MHz,DualDDR3,0.226829,0.018969,0,0
TIMING,2400MHz,DDR3,0.226665,0.017397,25694.26,520218104.46
TIMING,2400MHz,HBM,0.2262,0.017433,31233.8,526326531.18
TIMING,2400MHz,DDR4,0.226705,0.017394,25239.6,1129151731.92
TIMING,2400MHz,DualDDR3,0.226582,0.017404,0,0
TIMING,2600MHz,DDR3,0.226312,0.016087,26048.08,482982480.4
TIMING,2600MHz,HBM,0.22584,0.016121,31303.12,473618763.61
TIMING,2600MHz,DDR4,0.226411,0.01608,24904.98,1053221158.24
TIMING,2600MHz,DualDDR3,0.226283,0.016089,0,0
TIMING,2800MHz,DDR3,0.226026,0.014936,25674.74,427137816.78
TIMING,2800MHz,HBM,0.225592,0.014965,30187.74,451205764.57
TIMING,2800MHz,DDR4,0.22613,0.014929,24515.49,974339639.75
TIMING,2800MHz,DualDDR3,0.225995,0.014938,0,0
TIMING,3000MHz,DDR3,0.225659,0.013955,26202.81,420924899.66
TIMING,3000MHz,HBM,0.225191,0.013984,30733.35,410645997.34
TIMING,3000MHz,DDR4,0.225613,0.013957,26719.47,904004398.26
TIMING,3000MHz,DualDDR3,0.225607,0.013958,0,0
TIMING,3200MHz,DDR3,0.225314,0.013137,26724.93,387426437.66
TIMING,3200MHz,HBM,0.224859,0.013163,30910.44,384838059.3
TIMING,3200MHz,DDR4,0.225352,0.013134,26384.67,854900614.86
TIMING,3200MHz,DualDDR3,0.225326,0.013136,0,0
TIMING,3300MHz,DDR3,0.225197,0.012724,26300.82,366600054.32
TIMING,3300MHz,HBM,0.2247,0.012752,30718.44,371533317.51
TIMING,3300MHz,DDR4,0.225238,0.012721,25928.35,831965151.34
TIMING,3300MHz,DualDDR3,0.225175,0.012725,0,0
